"Data_subset","Order","Species_name","Common_name","Conservation_status","Bird_region","N_Years","Beta_dd","SE(Beta_dd)","Beta_dd/SE(Beta_dd)","Beta_km","SE_(Beta_km)","Direction","t_Value","p_Value","Significance","Correlation_Structure","Hand_Wing_Index","Habitat_Density","Migration","Territoriality","Thermal_Optimum","Thermal_Range","Thermal_Range_Precision","SSI"
"East","Accipitriformes","Accipiter cooperii","Cooper's Hawk","LC","Widespread",42,0.0297580733552271,0.0390580452930106,0.761893564616053,3.31266872590388,4.34794160201794,"Northward",0.761893564616055,0.450592714657931,"Non-Significant","AR1",32.3,"Semi-open","Migrant","Weak",15.6498049648011,43.51195,"Imprecise",2.71336453561745
"East","Passeriformes","Agelaius phoeniceus","Red-winged Blackbird","LC","Widespread",54,-0.00702190442437557,0.00654029129800934,1.07363787091759,-0.781678400521488,0.7280652272944,"Southward",-1.07363787091759,0.287942081513684,"Non-Significant","AR1",24,"Open","Migrant","Weak",11.6193152609121,27.7681076020629,"Precise",0.985342050952361
"East","Passeriformes","Ammodramus savannarum","Grasshopper Sparrow","LC","Widespread",54,-0.0170239754889525,0.00559000492533292,3.04543121452413,-1.89510895143019,0.622279348288061,"Southward",-3.04543121452413,0.00364275563574933,"Significant","AR2",21.1,"Open","Partial","Weak",19.8933383780314,9.73424415568401,"Precise",2.02984644785863
"East","Passeriformes","Baeolophus bicolor","Tufted Titmouse","LC","East",55,0.0074330525401548,0.0239344948203743,0.310558154493714,0.827447408770032,2.66438796340407,"Northward",0.310558154493714,0.757354589851471,"Non-Significant","AR1",16.1,"Dense","Resident","Strong",16.8911719824781,16.2623293879273,"Precise",0.875273265046863
"East","Passeriformes","Bombycilla cedrorum","Cedar Waxwing","LC","Widespread",50,-0.0240434990180252,0.00527516447824271,4.55786717498422,-2.67652231068656,0.587231309717978,"Southward",-4.55786717498422,3.56756707490884e-05,"Significant","AR2",35.1,"Semi-open","Migrant","None",19.0168225361816,15.4203350760334,"Precise",2.12647583768215
"East","Galliformes","Bonasa umbellus","Ruffed Grouse","LC","Widespread",21,-0.0782230233784522,0.0495173628268909,1.57970899322555,-8.7077869624893,5.51227282988949,"Southward",-1.57970899322555,0.130677743165385,"Non-Significant","AR1",38.3,"Dense","Resident","Weak",4.18257922557639,10.6775222110889,"Precise",1.54971061265038
"East","Accipitriformes","Buteo jamaicensis","Red-tailed Hawk","LC","Widespread",53,0.0444261948712147,0.0415185563718655,1.07003226396666,4.94552401306362,4.62184569531607,"Northward",1.07003226396666,0.289642965758516,"Non-Significant","AR1",34.1,"Semi-open","Migrant","Weak",18.144296077601,32.0815157282524,"Precise",NA
"East","Accipitriformes","Buteo lineatus","Red-shouldered Hawk","LC","Widespread",29,0.0523395594899421,0.0403166641032817,1.29821156224286,5.82643976242035,4.48805104797732,"Northward",1.29821156224286,0.205195032369423,"Non-Significant","AR2",33.4,"Dense","Migrant","Weak",25.1126279141443,9.8162161795547,"Precise",1.57965208919492
"East","Passeriformes","Cardellina canadensis","Canada Warbler","LC","East",54,0.0476413709211102,0.0100004585799228,4.76391862836734,5.30343741093799,1.11325104911701,"Northward",4.76391862836735,1.56389170723399e-05,"Significant","AR1",25.9,"Dense","Migrant","Weak",14.7380784840466,5.79389037115853,"Precise",2.16938692239908
"East","Passeriformes","Catharus fuscescens","Veery","LC","Widespread",52,0.0248843555026434,0.0127656828489541,1.9493164444926,2.77012645455426,1.42107581474557,"Northward",1.9493164444926,0.0568781105352639,"Non-Significant","AR1",28.5,"Dense","Migrant","Weak",16.4378900358833,9.68186095379655,"Precise",1.04520999279101
