"Data_subset","Order","Species_name","Common_name","Conservation_status","Bird_region","N_Years","Beta_dd","SE(Beta_dd)","Beta_dd/SE(Beta_dd)","Beta_km","SE_(Beta_km)","Direction","t_Value","p_Value","Significance","Correlation_Structure","Hand_Wing_Index","Habitat_Density","Migration","Territoriality","Thermal_Optimum","Thermal_Range","Thermal_Range_Precision","SSI"
"East","Passeriformes","Catharus guttatus","Hermit Thrush","LC","Widespread",48,0.0987523099263528,0.0832206835114641,1.18663180545434,10.9931071410016,9.26412648849618,"Northward",1.18663180545434,0.241465390181749,"Non-Significant","AR1",26.9,"Dense","Migrant","Weak",6.03616191258434,15.4956390440296,"Precise",0.840057399741593
"East","Passeriformes","Catharus ustulatus","Swainson's Thrush","LC","Widespread",49,0.109142775199273,0.086874067408667,1.25633320109039,12.1497737351831,9.67082118393281,"Northward",1.25633320109039,0.215204036525639,"Non-Significant","AR1",30.6,"Dense","Migrant","None",8.29521843188524,16.0854776332777,"Precise",1.26620832775995
"East","Passeriformes","Centronyx henslowii","Henslow's Sparrow","LC","East",50,-0.0512593282909823,0.0237009366128479,2.16275538508446,-5.70618842535215,2.63838826374223,"Southward",-2.16275538508446,0.0355717740434647,"Significant","AR2",15.6,"Open","Partial","Weak",20.6753275574174,7.50771120194557,"Precise",2.43997153453192
"East","Passeriformes","Certhia americana","Brown Creeper","LC","Widespread",39,0.175569203106234,0.0224896397508855,7.80667031802149,19.544363689786,2.50354669706857,"Northward",7.80667031802148,2.45489807066754e-09,"Significant","AR2",24.1,"Dense","Resident","Weak",11.6499207809693,10.8868985661911,"Precise",1.24335098210077
"East","Passeriformes","Chondestes grammacus","Lark Sparrow","LC","Widespread",53,-0.0538835334661337,0.0217150488075052,2.48139131271537,-5.99831494545,2.41731923325148,"Southward",-2.48139131271538,0.0164241123253858,"Significant","AR1",28.8,"Open","Partial","Weak",31.5149672376096,21.3514089566731,"Precise",1.56459022495293
"East","Accipitriformes","Circus hudsonius","Northern Harrier","LC","Widespread",48,-0.00783960794853471,0.0239971727134345,0.32668881630984,-0.872705156830884,2.67136526645953,"Southward",-0.32668881630984,0.745385119258898,"Non-Significant","AR1",44.6,"Open","Migrant","Weak",14.593186658497,10.1929112143781,"Precise",1.74620342339289
"East","Passeriformes","Cistothorus palustris","Marsh Wren","LC","Widespread",49,-0.0110645594527014,0.0406093269603497,0.272463502374828,-1.23170675827472,4.52063027722613,"Southward",-0.272463502374828,0.786459138692445,"Non-Significant","AR1",20,"Open","Partial","Weak",10.775880415607,1.45030512560245,"Precise",2.06041154209271
"East","Passeriformes","Cistothorus platensis","Sedge Wren","LC","Widespread",41,0.04321502670615,0.0274883071549197,1.57212397484491,4.81069677292862,3.05999835248566,"Northward",1.5721239748449,0.12400046182796,"Non-Significant","AR2",13.4,"Open","Partial","Weak",17.8328698302683,0.97804435348479,"Precise",1.18615062034277
"East","Cuculiformes","Coccyzus erythropthalmus","Black-billed Cuckoo","LC","Widespread",51,-0.000966528980771798,0.0328320654681007,0.0294385676621798,-0.107594006139517,3.65486552790897,"Southward",-0.0294385676621797,0.976634391385003,"Non-Significant","AR1",40.8,"Dense","Migrant","Weak",16.7352432435292,7.0893449002982,"Precise",1.5928342825826
"East","Piciformes","Colaptes auratus"," Northern Flicker","LC","Widespread",53,0.0816362415031217,0.0396232398574645,2.06031212482345,9.08774640412751,4.41085906093295,"Northward",2.06031212482345,0.0444879285628288,"Significant","AR1",24.8,"Semi-open","Partial","Weak",17.5948559590373,27.5423382581362,"Precise",0.723001805257338
"East","Passeriformes","Contopus virens","Eastern Wood-Pewee","LC","Widespread",27,0.0622720712755753,0.00581720297587919,10.7048132124294,6.93212697439704,0.647571035274871,"Northward",10.7048132124294,7.97055140632162e-11,"Significant","AR1",31,"Dense","Migrant","Weak",22.7184931009944,13.537627083847,"Precise",0.781092304808148
"East","Passeriformes","Corvus brachyrhynchos","American Crow","LC","Widespread",53,-0.0552156749850594,0.0532708377835871,1.03650847785374,-6.14660893933681,5.93010966206892,"Southward",-1.03650847785374,0.304854700893577,"Non-Significant","AR2",35.3,"Semi-open","Partial","None",19.6136188189603,23.58577186519,"Precise",0.456181027643809
"East","Passeriformes","Cyanocitta cristata","Blue Jay","LC","Widespread",54,0.105837490957452,0.0481917246692846,2.19617562317516,11.7818294933836,5.36470279018476,"Northward",2.19617562317517,0.0325625640917584,"Significant","AR2",17.4,"Semi-open","Resident","Weak",22.5186583742995,18.9829953061252,"Precise",0.693086218001094
"East","Passeriformes","Dolichonyx oryzivorus","Bobolink","LC","Widespread",54,-0.0328898216428215,0.00706932343184176,4.65247091322469,-3.66129494527889,0.786957084432625,"Southward",-4.65247091322469,2.29316310600718e-05,"Significant","AR1",35.4,"Dense","Migrant","Weak",17.217435091017,7.13129663488985,"Precise",1.35805070701376
"East","Piciformes","Dryobates pubescens","Downy Woodpecker","LC","Widespread",48,-0.00911222569602345,0.0178709468589347,0.509890481346697,-1.01437296448133,1.98939380433661,"Southward",-0.509890481346695,0.61256604666891,"Non-Significant","AR1",27,"Semi-open","Resident","Strong",24.1133718413827,17.2613360510739,"Precise",1.56321954223748
"East","Piciformes","Dryobates villosus","Hairy Woodpecker","LC","Widespread",45,-0.0824325064790179,0.0683791410425387,1.20552123384727,-9.17638662124427,7.61196598085541,"Southward",-1.20552123384727,0.234594270816975,"Non-Significant","AR2",25.3,"Dense","Resident","Strong",12.3464498860901,23.7704980790849,"Precise",1.18352698553188
"East","Piciformes","Dryocopus pileatus","Pileated Woodpecker","LC","Widespread",36,-0.00158310947628731,0.0218755110493361,0.0723690282122737,-0.176231746900303,2.43518189001209,"Southward",-0.0723690282122736,0.94273228665305,"Non-Significant","AR1",25.3,"Dense","Resident","Weak",26.1889776494441,15.8358217647024,"Precise",1.80202344487839
"East","Passeriformes","Dumetella carolinensis","Gray Catbird","LC","Widespread",54,-0.00422307703393207,0.00813623914336771,0.519045342635305,-0.470112935417318,0.905726141439693,"Southward",-0.519045342635305,0.605931263843998,"Non-Significant","AR2",18.6,"Dense","Migrant","Strong",20.1917889168586,8.87389899603868,"Precise",0.805637341508216
"East","Passeriformes","Empidonax alnorum","Alder Flycatcher","LC","Widespread",35,0.0853339314783025,0.0888670634054299,0.960242503895864,9.49937325216463,9.89268149829246,"Northward",0.960242503895863,0.34391650039641,"Non-Significant","AR1",19.2,"Dense","Migrant","Weak",15.1611190347331,12.4686083064179,"Precise",0.84554444766171
"East","Passeriformes","Empidonax minimus","Least Flycatcher","LC","Widespread",49,0.0356060976259106,0.0408405038172272,0.87183296722435,3.96367078771637,4.54636488493373,"Northward",0.871832967224351,0.387731479753728,"Non-Significant","AR2",22.8,"Dense","Migrant","Strong",15.6199509415006,9.50601856487052,"Precise",0.961417953336254
"East","Passeriformes","Empidonax traillii","Willow Flycatcher","LC","Widespread",53,-0.018020223294809,0.0059780660695961,3.0143901196506,-2.00601125717814,0.665478314867438,"Southward",-3.0143901196506,0.00400505204379017,"Significant","AR1",23.5,"Semi-open","Migrant","Strong",12.0667149246385,21.6653232847101,"Precise",1.48387976999752
"East","Passeriformes","Empidonax virescens","Acadian Flycatcher","LC","East",55,-0.0843543239119223,0.0370949479119634,2.27401111634173,-9.39032333787519,4.12940960155977,"Southward",-2.27401111634173,0.0270410807055576,"Significant","AR2",27.5,"Semi-open","Migrant","Weak",24.0825697470037,8.56171359797208,"Precise",0.89142175977943
"East","Passeriformes","Euphagus cyanocephalus","Brewer's Blackbird","LC","Widespread",53,0.05802192189724,0.023782382623276,2.43970180853341,6.45900034560076,2.64745483362308,"Northward",2.43970180853341,0.0182159652805352,"Significant","AR2",31.2,"Open","Partial","Weak",9.14471149263047,13.9977344976889,"Precise",1.20897648261718
"East","Passeriformes","Geothlypis formosa","Kentucky Warbler","LC","East",55,-0.01808449531339,0.0155630508729414,1.1620147913821,-2.01316601828657,1.73247882317584,"Southward",-1.1620147913821,0.250435631166615,"Non-Significant","AR1",24.9,"Dense","Migrant","Weak",24.4165464381427,7.733686628055,"Precise",2.2174948311323
"East","Passeriformes","Geothlypis trichas","Common Yellowthroat","LC","Widespread",47,0.0200096455248788,0.0183280354314394,1.09175070070821,2.22747373982951,2.04027690422783,"Northward",1.09175070070821,0.280753597781092,"Non-Significant","AR1",16.1,"Dense","Migrant","Weak",18.1394551794115,20.4346656334088,"Precise",0.800344199066559
"East","Passeriformes","Haemorhous purpureus","Purple Finch","LC","Widespread",49,-0.0143749308197374,0.010380113594953,1.38485293905904,-1.60021729885317,1.15551424539017,"Southward",-1.38485293905905,0.17263638144371,"Non-Significant","AR1",28.1,"Semi-open","Partial","Weak",14.7783729229083,10.7383513825769,"Precise",1.33912824432457
"East","Accipitriformes","Haliaeetus leucocephalus","Bald Eagle","LC","Widespread",18,0.331463737271393,0.244144017239235,1.35765660375201,36.8985432330515,27.1781119990716,"Northward",1.35765660375201,0.193413608689863,"Non-Significant","AR1",41.4,"Open","Migrant","Weak",5.51774174074009,5.39483572469753,"Precise",2.26175302765067
"East","Passeriformes","Helmitheros vermivorum","Worm-eating Warbler","LC","East",55,0.0110260649627734,0.00883241644580382,1.24836334772369,1.22742155165593,0.983224598746881,"Northward",1.24836334772368,0.217384668477771,"Non-Significant","AR1",26.2,"Dense","Migrant","Weak",21.9802428119255,2.67345137915922,"Precise",2.02453389035436
"East","Passeriformes","Hirundo rustica","Barn Swallow","LC","Widespread",53,0.0125332753786854,0.0777009928299714,0.161301354361214,1.39520421515526,8.64967452183241,"Northward",0.161301354361214,0.872493354210806,"Non-Significant","AR2",52.6,"Open","Migrant","None",21.0430631711644,23.1395966253469,"Precise",0.789297686792038
"East","Passeriformes","Hylocichla mustelina","Wood Thrush","NT","East",55,-0.0498957951790066,0.0211738317332664,2.35648397548257,-5.55439991932701,2.35707094854722,"Southward",-2.35648397548257,0.0221777302366537,"Significant","AR2",26.9,"Dense","Migrant","Weak",22.547068856154,13.3362239903657,"Precise",1.35026515130747
"East","Passeriformes","Icteria virens","Yellow-breasted Chat","LC","Widespread",47,-0.00866026147676929,0.0551206884845473,0.15711453747892,-0.964060307593957,6.13603504209981,"Southward",-0.15711453747892,0.87585741362438,"Non-Significant","AR2",21.3,"Semi-open","Resident","Weak",24.9287183324351,8.11207545143339,"Precise",0.748069191171204
"East","Passeriformes","Icterus galbula","Baltimore Oriole","LC","Widespread",54,-0.0282146244879608,0.00361866388929876,7.79697295772566,-3.1408519979998,0.402829664156738,"Southward",-7.79697295772566,2.6680989801513e-10,"Significant","AR1",27.4,"Dense","Migrant","None",18.9896373553546,11.2369052513687,"Precise",1.2046118380962
"East","Accipitriformes","Ictinia mississippiensis","Mississippi Kite","LC","East",49,-0.153306105134706,0.0197008791316297,7.78168852823291,-17.0660356235955,2.19310186493302,"Southward",-7.78168852823291,5.40376746215542e-10,"Significant","AR1",53.6,"Semi-open","Migrant","None",22.4063459782924,5.09287496289708,"Precise",2.41322675056394
"East","Passeriformes","Lanius ludovicianus","Loggerhead Shrike","NT","Widespread",53,-0.0664275192143395,0.0100987878983085,6.57777149923763,-7.39471143894027,1.1241970688397,"Southward",-6.57777149923761,2.52810406606087e-08,"Significant","AR2",22.6,"Open","Migrant","Strong",23.7389888847589,15.2595852302967,"Precise",1.06194788955059
"East","Passeriformes","Leiothlypis peregrina","Tennessee Warbler","LC","Widespread",17,-0.0739661968853993,0.206257614315539,0.358610745745578,-8.23391703728265,22.9605976256058,"Southward",-0.358610745745578,0.724883544446505,"Non-Significant","AR1",25.9,"Dense","Migrant","Weak",14.304075851257,12.8486102505736,"Precise",1.62961602067269
"East","Passeriformes","Leiothlypis ruficapilla","Nashville Warbler","LC","Widespread",42,0.0203189855089499,0.033195924605207,0.612092771947155,2.2619094668563,3.69537032705164,"Northward",0.612092771947155,0.543940288992777,"Non-Significant","AR2",23.6,"Dense","Migrant","Weak",14.7401951294735,7.9854419376677,"Precise",1.05588158811164
"East","Passeriformes","Limnothlypis swainsonii","Swainson's Warbler","LC","East",35,-0.0505661146736512,0.0244961293155754,2.06424917268459,-5.62901988547085,2.72690911540985,"Southward",-2.06424917268459,0.0469277240770697,"Significant","AR1",25,"Dense","Migrant","Weak",26.0648840074904,2.03868451156043,"Precise",3
"East","Piciformes","Melanerpes carolinus","Red-bellied Woodpecker","LC","East",55,-0.134614893598561,0.0221979517007793,6.0642934723493,-14.9853299553918,2.47107598333075,"Southward",-6.06429347234929,1.43028166030026e-07,"Significant","AR1",28.2,"Dense","Resident","Strong",26.2304011520983,9.99174498292821,"Precise",0.89430045373484
"East","Piciformes","Melanerpes erythrocephalus","Red-headed Woodpecker","LC","Widespread",54,-0.11985700245332,0.0615464707490531,1.94742283342321,-13.3424815131036,6.85135312378459,"Southward",-1.94742283342321,0.056893065860385,"Non-Significant","AR2",29.1,"Dense","Resident","Strong",24.6416021567184,10.8228077842326,"Precise",1.53320563745484
"East","Galliformes","Meleagris gallopavo","Wild Turkey","LC","Widespread",25,0.182089510217263,0.0251297791885772,7.24596538834819,20.2702042773857,2.79744701927241,"Northward",7.24596538834819,2.24457416805946e-07,"Significant","AR2",26,"Semi-open","Resident","None",14.1999895333447,21.9689897214937,"Precise",0.73119666035133
"East","Passeriformes","Melospiza melodia","Song Sparrow","LC","Widespread",53,-0.00945992477269214,0.00609409383348519,1.55231032392589,-1.05307882569609,0.678394525543571,"Southward",-1.55231032392589,0.126772105015283,"Non-Significant","AR1",20.1,"Semi-open","Partial","Strong",14.2657740792158,16.1486117227071,"Precise",0.643353547214984
"East","Passeriformes","Mimus polyglottos","Northern Mockingbird","LC","Widespread",53,0.0142462730406113,0.0265016772701137,0.537561185105707,1.58589511488085,2.95016671370906,"Northward",0.537561185105706,0.593218035102853,"Non-Significant","AR2",20.6,"Semi-open","Migrant","Weak",26.365939565923,14.0364044078286,"Precise",0.675181754318217
"East","Passeriformes","Molothrus ater","Brown-headed Cowbird","LC","Widespread",54,0.00656376390024646,0.0340375671165213,0.192838808889502,0.730678197375436,3.78906197141115,"Northward",0.192838808889502,0.847836408479065,"Non-Significant","AR2",33,"Semi-open","Migrant","None",18.8236387288585,27.1999930093927,"Precise",1.31281396559458
"East","Passeriformes","Myiarchus crinitus","Great Crested Flycatcher","LC","Widespread",45,-0.149215173642357,0.0525144519039699,2.8414116158961,-16.6106331298672,5.84590878594993,"Southward",-2.84141161589609,0.00683955221772346,"Significant","AR1",21.4,"Dense","Migrant","Strong",26.0722693229953,13.8895425835818,"Precise",0.713443279782296
"East","Passeriformes","Parkesia motacilla","Louisiana Waterthrush","LC","East",55,0.00814514928335199,0.0045651250117184,1.78421166177134,0.906718018222743,0.508189716304492,"Northward",1.78421166177134,0.0801140756947043,"Non-Significant","AR1",29.7,"Dense","Migrant","Weak",22.9842499353647,5.95457984110262,"Precise",1.40811824733444
"East","Passeriformes","Parkesia noveboracensis","Northern Waterthrush","LC","Widespread",31,-0.0818495582950244,0.179465234485019,0.456074729626015,-9.11149282940212,19.9780699028723,"Southward",-0.456074729626016,0.651733404568597,"Non-Significant","AR2",28,"Dense","Migrant","Weak",11.3682855435644,13.5383755059022,"Precise",1.27173107242763
"East","Passeriformes","Passerculus sandwichensis","Savannah Sparrow","LC","Widespread",53,-0.0208905043284836,0.00891867434955024,2.34233289721326,-2.32553094184679,0.992826828591933,"Southward",-2.34233289721326,0.0231049330413428,"Significant","AR1",24.1,"Open","Migrant","Weak",18.7769563405925,22.2660148944255,"Precise",1.03048286011173
"East","Passeriformes","Passerina caerulea","Blue Grosbeak","LC","Widespread",38,0.00745369803899384,0.0161806697341477,0.460654482259381,0.829745665700794,1.80123215480532,"Northward",0.460654482259382,0.647817274921757,"Non-Significant","AR1",22.9,"Semi-open","Migrant","Weak",20.8086393266635,10.5341417502661,"Precise",0.623849835750977
"East","Passeriformes","Passerina ciris","Painted Bunting","LC","East",54,-0.00366058527949763,0.0132572874023248,0.276118723869237,-0.407496353313676,1.4758012336268,"Southward",-0.276118723869237,0.783551329479902,"Non-Significant","AR1",21.6,"Semi-open","Migrant","Weak",28.851589137093,6.42954111913117,"Precise",1.17934381002638
"East","Passeriformes","Passerina cyanea","Indigo Bunting","LC","Widespread",29,-0.0197973401414436,0.0115694278525868,1.71117711210042,-2.2038399045455,1.28790870854996,"Southward",-1.71117711210041,0.0985152807033354,"Non-Significant","AR1",22.5,"Semi-open","Migrant","Weak",23.37431689533,10.3479901716277,"Precise",0.757966479038201
"East","Passeriformes","Petrochelidon pyrrhonota","Cliff Swallow","LC","Widespread",52,-0.279301055926125,0.0643617739737394,4.33954875202918,-31.0917935456962,7.16475267875667,"Southward",-4.33954875202918,6.93942079707203e-05,"Significant","AR1",49,"Open","Migrant","None",17.0090997554644,37.65318,"Imprecise",1.27406293608075
"East","Passeriformes","Peucaea aestivalis","Bachman's Sparrow","NT","East",55,-0.00216726921619744,0.00802382586249404,0.270104218777723,-0.241260409147099,0.893212295012836,"Southward",-0.270104218777723,0.788129061106372,"Non-Significant","AR1",16.5,"Semi-open","Partial","Weak",26.4310822566105,2.22646728783587,"Precise",2.87494378312948
"East","Passeriformes","Peucaea cassinii","Cassin's Sparrow","LC","Widespread",10,0.540824922656047,0.0440297157716333,12.2831799655741,60.2046303900711,4.90138795969822,"Northward",12.2831799655741,1.79440098509229e-06,"Significant","AR2",16.4,"Open","Partial","Weak",30.1790248591202,35.798,"Imprecise",1.84240448544098
"East","Galliformes","Phasianus colchicus","Ring-necked Pheasant","LC","Widespread",54,0.0217557986181277,0.00435179667119346,4.99926817862133,2.42185550216998,0.484442005437256,"Northward",4.99926817862134,6.90494399558397e-06,"Significant","AR1",25.8,"Semi-open","Resident","None",12.0581930009345,9.18017996513585,"Precise",1.2295939199079
"East","Passeriformes","Pheucticus ludovicianus","Rose-breasted Grosbeak","LC","Widespread",47,-0.0370986717878085,0.0157672875462264,2.35288864232627,-4.12982414341884,1.75521444964592,"Southward",-2.35288864232627,0.0230596578432235,"Significant","AR2",26.5,"Semi-open","Migrant","Weak",17.1980159750458,9.88152049983916,"Precise",1.11656923829501
"East","Passeriformes","Piranga olivacea","Scarlet Tanager","LC","East",55,-0.0712151973379395,0.0156093153546034,4.56235239791841,-7.92767576765942,1.73762898527445,"Southward",-4.5623523979184,3.03292450303741e-05,"Significant","AR1",30.9,"Dense","Migrant","Weak",19.6503693375822,9.9500055310469,"Precise",1.2512965589848
"East","Passeriformes","Poecile atricapillus","Black-capped Chickadee","LC","Widespread",50,-0.158243324149407,0.226129264042366,0.69979144371053,-17.615646844312,25.1727096731962,"Southward",-0.699791443710532,0.487435356608328,"Non-Significant","AR2",18.6,"Dense","Resident","Weak",12.9518894802537,18.2185082446547,"Precise",0.696269168621181
"East","Passeriformes","Poecile carolinensis","Carolina Chickadee","LC","East",55,-0.0785156733585576,0.0223966249217645,3.50569220285767,-8.74036475827463,2.49319228629082,"Southward",-3.50569220285767,0.000935568997942573,"Significant","AR2",19.5,"Semi-open","Resident","Weak",20.1343271448741,11.5447801126763,"Precise",1.43835279996939
"East","Passeriformes","Polioptila caerulea","Blue-gray Gnatcatcher","LC","Widespread",29,-0.0136653482497573,0.0193510821912501,0.706180053120559,-1.52122656716298,2.15416246952996,"Southward",-0.706180053120558,0.486125647079891,"Non-Significant","AR1",19.1,"Semi-open","Migrant","Weak",21.1300173765564,10.9171679749367,"Precise",0.579134334624152
"East","Passeriformes","Pooecetes gramineus","Vesper Sparrow","LC","Widespread",54,-0.0355101158377443,0.0145038612835703,2.44832152924473,-3.9529860950577,1.61456983808705,"Southward",-2.44832152924474,0.0177622896534052,"Significant","AR1",23.9,"Open","Migrant","Weak",15.7671480371349,16.8004931536626,"Precise",1.26973701619097
"East","Passeriformes","Progne subis","Purple Martin","LC","Widespread",24,0.0614644770284926,0.0151057870078529,4.06893576591141,6.8422255828118,1.68157620971418,"Northward",4.06893576591141,0.000509811485134569,"Significant","AR1",52,"Semi-open","Resident","None",25.1761043665854,10.5810269854026,"Precise",1.04812901689389
"East","Passeriformes","Protonotaria citrea","Prothonotary Warbler","LC","East",55,0.0156481178991082,0.010419752747753,1.5017743969484,1.74194848452872,1.15992687587986,"Northward",1.50177439694839,0.139090274735264,"Non-Significant","AR1",30,"Dense","Migrant","Weak",23.8475524337444,6.02156097056966,"Precise",3
"East","Passeriformes","Quiscalus major","Boat-tailed Grackle","LC","East",31,-0.0134626693899863,0.0161015217580925,0.836111616792995,-1.49866435649327,1.79242140211086,"Southward",-0.836111616792996,0.409928742589145,"Non-Significant","AR1",29.7,"Open","Resident","None",24.0838937012399,3.81532788669093,"Precise",2.37450657439919
"East","Passeriformes","Quiscalus quiscula","Common Grackle","NT","Widespread",54,0.039721447251723,0.0101900382768101,3.89806654035037,4.4217915080618,1.1343550609745,"Northward",3.89806654035039,0.000279115791863739,"Significant","AR2",25.9,"Open","Partial","None",18.4065884213331,14.2208968533404,"Precise",1.4592807706135
"East","Passeriformes","Regulus calendula","Ruby-crowned Kinglet","LC","Widespread",42,0.0720221819937217,0.0545637421652533,1.31996412151486,8.0175092995411,6.074035777836,"Northward",1.31996412151486,0.194351443595755,"Non-Significant","AR1",22,"Dense","Migrant","Weak",7.04099951991119,15.0823131166517,"Precise",1.00585147169322
"East","Passeriformes","Regulus satrapa","Golden-crowned Kinglet","LC","Widespread",40,0.0210305910739287,0.0190359045177531,1.10478548861786,2.34112539834974,2.11907689091628,"Northward",1.10478548861785,0.276198926228417,"Non-Significant","AR1",23.6,"Dense","Migrant","Weak",12.4254324347468,13.2155599976138,"Precise",0.921617207609746
"East","Passeriformes","Sayornis phoebe","Eastern Phoebe","LC","Widespread",27,-0.0223397087048435,0.0383123020894307,0.583094919556045,-2.48685637302318,4.26492546859543,"Southward",-0.583094919556045,0.565052789647586,"Non-Significant","AR2",20.6,"Semi-open","Migrant","Weak",18.8704811670245,17.0309884268077,"Precise",0.710427175292921
"East","Passeriformes","Seiurus aurocapilla","Ovenbird","LC","Widespread",43,-0.0574380127804676,0.0211306490486773,2.71823230077559,-6.39399958272165,2.35226385209876,"Southward",-2.71823230077558,0.0095747780786241,"Significant","AR1",24.9,"Dense","Migrant","Weak",15.7972747311243,9.99303944525002,"Precise",0.855224245730628
"East","Passeriformes","Setophaga americana","Northern Parula","LC","East",50,0.021409328778406,0.0503381241849714,0.425310420780396,2.38328647961216,5.60363998427102,"Northward",0.425310420780395,0.672511183691856,"Non-Significant","AR1",28.1,"Semi-open","Migrant","Weak",21.7059949288779,35.75835,"Imprecise",1.51804105831771
"East","Passeriformes","Setophaga caerulescens","Black-throated Blue Warbler","LC","East",54,0.0326475610709659,0.00520908596460678,6.26742604994241,3.63432649841992,0.579875449580027,"Northward",6.26742604994241,7.26290848317328e-08,"Significant","AR1",24.1,"Dense","Migrant","Weak",16.213719041223,5.53950338216183,"Precise",1.59918291439258
"East","Passeriformes","Setophaga castanea","Bay-breasted Warbler","LC","East",25,0.0628511201261846,0.0312214824536156,2.01307289682864,6.99658669244687,3.47557542673649,"Northward",2.01307289682864,0.0559554722237507,"Non-Significant","AR1",30.6,"Dense","Migrant","Weak",13.5829784223418,1.03513380508198,"Precise",2.86345657709758
"East","Passeriformes","Setophaga cerulea","Cerulean Warbler","NT","East",55,0.00942730430573654,0.00638150905197833,1.47728448380309,1.04944751531459,0.710389587666228,"Northward",1.47728448380309,0.145517362723244,"Non-Significant","AR1",33.2,"Dense","Migrant","Weak",20.7497674944632,35.9233333333333,"Imprecise",3
"East","Passeriformes","Setophaga citrina","Hooded Warbler","LC","East",55,0.004528849222565,0.0086056243313948,0.526266200819733,0.504151495455936,0.957978100570869,"Northward",0.526266200819733,0.600898723202643,"Non-Significant","AR1",21.5,"Semi-open","Migrant","Strong",25.8297788180859,7.73624137018007,"Precise",2.4744991615439
"East","Passeriformes","Setophaga coronata"," Yellow-rumped Warbler","LC","Widespread",50,0.182955301298449,0.0486469539540797,3.76087887169975,20.3665841405433,5.41537891416815,"Northward",3.76087887169975,0.000460138989486791,"Significant","AR1",24.5,"Dense","Migrant","Weak",2.05699664388203,13.8362497180933,"Precise",1.20548099116062
